Bulan;Kebun;Afdeling;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Pot.;Kg Pot.;BJR Akt.;BJR Pot.;Ton/ha Akt.;Ton/ha Pot.;% Cap.;Gap Ton/Ha;Gap %
NOV;Estate 2;Afdeling 4;457,2;66094; -   ; -   ;121613;805978,3;#DIV/0!;6,6; -   ;1,8; -   ;-1,8;100
NOV;Estate 2;Afdeling 5;843,2;121649; -   ; -   ;210858,3;1440410,5;#DIV/0!;6,8; -   ;1,7; -   ;-1,7;100
NOV;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
NOV;Plasma;Plasma 2;218,5;31449; -   ; -   ;55350,2;297160;#DIV/0!;5,4; -   ;1,4; -   ;-1,4;100
NOV;Mitra;Mitra 1;67,6;9688; -   ; -   ;15279,4;106305,8;#DIV/0!;7; -   ;1,6; -   ;-1,6;100
NOV;Mitra;Mitra 2;137,6;19739; -   ; -   ;34477,5;210252,8;#DIV/0!;6,1; -   ;1,5; -   ;-1,5;100
DES;Estate 1;Afdeling 1;927,2;133167; -   ; -   ;215730,5;2002752;#DIV/0!;9,3; -   ;2,2; -   ;-2,2;100
DES;Estate 1;Afdeling 2;799,6;114985; -   ; -   ;191052;1580993,7;#DIV/0!;8,3; -   ;2; -   ;-2;100
DES;Estate 1;Afdeling 3;675,7;98117; -   ; -   ;164100,7;1392617,7;#DIV/0!;8,5; -   ;2,1; -   ;-2,1;100
DES;Estate 2;Afdeling 4;457,2;66094; -   ; -   ;136814,6;906725,6;#DIV/0!;6,6; -   ;2; -   ;-2;100
DES;Estate 2;Afdeling 5;843,2;121649; -   ; -   ;237215,6;1620461,8;#DIV/0!;6,8; -   ;1,9; -   ;-1,9;100
DES;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
DES;Plasma;Plasma 2;218,5;31449; -   ; -   ;62269;334305;#DIV/0!;5,4; -   ;1,5; -   ;-1,5;100
DES;Mitra;Mitra 1;67,6;9688; -   ; -   ;17189,3;119594,1;#DIV/0!;7; -   ;1,8; -   ;-1,8;100
DES;Mitra;Mitra 2;137,6;19739; -   ; -   ;38787,1;236534,4;#DIV/0!;6,1; -   ;1,7; -   ;-1,7;100
